name	output_shape	class
nasnet_mobile/activation_60	None	Activation
nasnet_mobile/activation_62	None	Activation
nasnet_mobile/activation_64	None	Activation
nasnet_mobile/activation_66	None	Activation
nasnet_mobile/activation_68	None	Activation
nasnet_mobile/separable_conv_2_normal_left1_3	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right1_3	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left2_3	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_right2_3	None	SeparableConv2D
nasnet_mobile/separable_conv_2_normal_left5_3	None	SeparableConv2D
nasnet_mobile/separable_conv_2_bn_normal_left1_3	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right1_3	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_left2_3	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_normal_right2_3	None	BatchNormalization
nasnet_mobile/normal_left3_3	None	AveragePooling2D
nasnet_mobile/normal_left4_3	None	AveragePooling2D
nasnet_mobile/normal_right4_3	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_3	None	BatchNormalization
nasnet_mobile/normal_add_1_3	None	Add
nasnet_mobile/normal_add_2_3	None	Add
nasnet_mobile/normal_add_3_3	None	Add
nasnet_mobile/normal_add_4_3	None	Add
nasnet_mobile/normal_add_5_3	None	Add
nasnet_mobile/normal_concat_3	None	Concatenate
nasnet_mobile/activation_70	None	Activation
nasnet_mobile/activation_69	None	Activation
nasnet_mobile/reduction_conv_1_reduce_4	None	Conv2D
nasnet_mobile/adjust_conv_projection_reduce_4	None	Conv2D
nasnet_mobile/reduction_bn_1_reduce_4	None	BatchNormalization
nasnet_mobile/adjust_bn_reduce_4	None	BatchNormalization
nasnet_mobile/activation_71	None	Activation
nasnet_mobile/activation_73	None	Activation
nasnet_mobile/separable_conv_1_pad_reduction_left1_reduce_4	None	ZeroPadding2D
nasnet_mobile/separable_conv_1_pad_reduction_right1_reduce_4	None	ZeroPadding2D
nasnet_mobile/separable_conv_1_reduction_left1_reduce_4	None	SeparableConv2D
nasnet_mobile/separable_conv_1_reduction_right1_reduce_4	None	SeparableConv2D
nasnet_mobile/separable_conv_1_bn_reduction_left1_reduce_4	None	BatchNormalization
nasnet_mobile/separable_conv_1_bn_reduction_right1_reduce_4	None	BatchNormalization
nasnet_mobile/activation_72	None	Activation
nasnet_mobile/activation_74	None	Activation
nasnet_mobile/separable_conv_2_reduction_left1_reduce_4	None	SeparableConv2D
nasnet_mobile/separable_conv_2_reduction_right1_reduce_4	None	SeparableConv2D
nasnet_mobile/activation_75	None	Activation
nasnet_mobile/separable_conv_2_bn_reduction_left1_reduce_4	None	BatchNormalization
nasnet_mobile/separable_conv_2_bn_reduction_right1_reduce_4	None	BatchNormalization
nasnet_mobile/separable_conv_1_pad_reduction_right2_reduce_4	None	ZeroPadding2D
nasnet_mobile/activation_77	None	Activation
nasnet_mobile/reduction_add_1_reduce_4	None	Add
nasnet_mobile/separable_conv_1_reduction_right2_reduce_4	None	SeparableConv2D
nasnet_mobile/separable_conv_1_pad_reduction_right3_reduce_4	None	ZeroPadding2D
nasnet_mobile/activation_79	None	Activation
nasnet_mobile/separable_conv_1_bn_reduction_right2_reduce_4	None	BatchNormalization
nasnet_mobile/separable_conv_1_reduction_right3_reduce_4	None	SeparableConv2D
nasnet_mobile/separable_conv_1_reduction_left4_reduce_4	None	SeparableConv2D
nasnet_mobile/activation_76	None	Activation
